554.4;[0.0, 10000.0[;[0.0, 25000.0[;*
558.5;[0.0, 10000.0[;[0.0, 25000.0[;*
561.0;[0.0, 10000.0[;[0.0, 25000.0[;*
562.0;[0.0, 10000.0[;[0.0, 25000.0[;*
565.75;[0.0, 10000.0[;[0.0, 25000.0[;*
568.0;[0.0, 10000.0[;[0.0, 25000.0[;*
570.0;[0.0, 10000.0[;[0.0, 25000.0[;*
575.0;[0.0, 10000.0[;[0.0, 25000.0[;*
577.0;[0.0, 10000.0[;[0.0, 25000.0[;*
577.5;[0.0, 10000.0[;[0.0, 25000.0[;*
578.51;[0.0, 10000.0[;[0.0, 25000.0[;*
579.0;[0.0, 10000.0[;[0.0, 25000.0[;*
580.0;[0.0, 10000.0[;[0.0, 25000.0[;*
581.7;[0.0, 10000.0[;[0.0, 25000.0[;*
582.0;[0.0, 10000.0[;[0.0, 25000.0[;*
582.1;[0.0, 10000.0[;[0.0, 25000.0[;*
583.88;[0.0, 10000.0[;[0.0, 25000.0[;*
590.0;[0.0, 10000.0[;[0.0, 25000.0[;*
591.0;[0.0, 10000.0[;[0.0, 25000.0[;*
592.0;[0.0, 10000.0[;[0.0, 25000.0[;*
593.0;[0.0, 10000.0[;[0.0, 25000.0[;*
598.5;[0.0, 10000.0[;[0.0, 25000.0[;*
599.15;[0.0, 10000.0[;[0.0, 25000.0[;*
602.0;[0.0, 10000.0[;[0.0, 25000.0[;*
603.75;[0.0, 10000.0[;[0.0, 25000.0[;*
605.0;[0.0, 10000.0[;[0.0, 25000.0[;*
606.0;[0.0, 10000.0[;[0.0, 25000.0[;*
611.0;[0.0, 10000.0[;[0.0, 25000.0[;*
614.0;[0.0, 10000.0[;[0.0, 25000.0[;*
616.0;[0.0, 10000.0[;[0.0, 25000.0[;*
616.46;[0.0, 10000.0[;[0.0, 25000.0[;*
619.0;[0.0, 10000.0[;[0.0, 25000.0[;*
619.97;[0.0, 10000.0[;[0.0, 25000.0[;*
620.0;[0.0, 10000.0[;[0.0, 25000.0[;*
621.0;[0.0, 10000.0[;[0.0, 25000.0[;*
622.0;[0.0, 10000.0[;[0.0, 25000.0[;*
624.0;[0.0, 10000.0[;[0.0, 25000.0[;*
626.0;[0.0, 10000.0[;[0.0, 25000.0[;*
630.0;[0.0, 10000.0[;[0.0, 25000.0[;*
633.0;[0.0, 10000.0[;[0.0, 25000.0[;*
639.17;[0.0, 10000.0[;[0.0, 25000.0[;*
642.9;[0.0, 10000.0[;[0.0, 25000.0[;*
644.0;[0.0, 10000.0[;[0.0, 25000.0[;*
645.0;[0.0, 10000.0[;[0.0, 25000.0[;*
646.0;[0.0, 10000.0[;[0.0, 25000.0[;*
646.88;[0.0, 10000.0[;[0.0, 25000.0[;*
650.0;[0.0, 10000.0[;[0.0, 25000.0[;*
652.0;[0.0, 10000.0[;[0.0, 25000.0[;*
653.09;[0.0, 10000.0[;[0.0, 25000.0[;*
658.97;[0.0, 10000.0[;[0.0, 25000.0[;*
662.4;[0.0, 10000.0[;[0.0, 25000.0[;*
663.0;[0.0, 10000.0[;[0.0, 25000.0[;*
665.0;[0.0, 10000.0[;[0.0, 25000.0[;*
667.25;[0.0, 10000.0[;[0.0, 25000.0[;*
670.0;[0.0, 10000.0[;[0.0, 25000.0[;*
674.0;[0.0, 10000.0[;[0.0, 25000.0[;*
676.5;[0.0, 10000.0[;[0.0, 25000.0[;*
678.0;[0.0, 10000.0[;[0.0, 25000.0[;*
679.0;[0.0, 10000.0[;[0.0, 25000.0[;*
680.0;[0.0, 10000.0[;[0.0, 25000.0[;*
682.0;[0.0, 10000.0[;[0.0, 25000.0[;*
686.0;[0.0, 10000.0[;[0.0, 25000.0[;*
691.0;[0.0, 10000.0[;[0.0, 25000.0[;*
691.94;[0.0, 10000.0[;[0.0, 25000.0[;*
693.9;[0.0, 10000.0[;[0.0, 25000.0[;*
695.0;[0.0, 10000.0[;[0.0, 25000.0[;*
696.0;[0.0, 10000.0[;[0.0, 25000.0[;*
699.0;[0.0, 10000.0[;[0.0, 25000.0[;*
700.0;[0.0, 10000.0[;[0.0, 25000.0[;*
701.0;[0.0, 10000.0[;[0.0, 25000.0[;*
704.0;[0.0, 10000.0[;[0.0, 25000.0[;*
706.0;[0.0, 10000.0[;[0.0, 25000.0[;*
709.83;[0.0, 10000.0[;[0.0, 25000.0[;*
710.0;[0.0, 10000.0[;[0.0, 25000.0[;*
712.0;[0.0, 10000.0[;[0.0, 25000.0[;*
713.12;[0.0, 10000.0[;[0.0, 25000.0[;*
718.0;[0.0, 10000.0[;[0.0, 25000.0[;*
720.0;[0.0, 10000.0[;[0.0, 25000.0[;*
723.0;[0.0, 10000.0[;[0.0, 25000.0[;*
724.0;[0.0, 10000.0[;[0.0, 25000.0[;*
725.0;[0.0, 10000.0[;[0.0, 25000.0[;*
726.88;[0.0, 10000.0[;[0.0, 25000.0[;*
728.0;[0.0, 10000.0[;[0.0, 25000.0[;*
729.0;[0.0, 10000.0[;[0.0, 25000.0[;*
730.0;[0.0, 10000.0[;[0.0, 25000.0[;*
730.02;[0.0, 10000.0[;[0.0, 25000.0[;*
734.0;[0.0, 10000.0[;[0.0, 25000.0[;*
735.0;[0.0, 10000.0[;[0.0, 25000.0[;*
736.92;[0.0, 10000.0[;[0.0, 25000.0[;*
738.5;[0.0, 10000.0[;[0.0, 25000.0[;*
741.52;[0.0, 10000.0[;[0.0, 25000.0[;*
746.0;[0.0, 10000.0[;[0.0, 25000.0[;*
746.5;[0.0, 10000.0[;[0.0, 25000.0[;*
747.0;[0.0, 10000.0[;[0.0, 25000.0[;*
750.0;[0.0, 10000.0[;[0.0, 25000.0[;*
753.0;[0.0, 10000.0[;[0.0, 25000.0[;*
753.25;[0.0, 10000.0[;[0.0, 25000.0[;*
754.0;[0.0, 10000.0[;[0.0, 25000.0[;*
755.0;[0.0, 10000.0[;[0.0, 25000.0[;*
755.4;[0.0, 10000.0[;[0.0, 25000.0[;*
755.55;[0.0, 10000.0[;[0.0, 25000.0[;*
757.81;[0.0, 10000.0[;[0.0, 25000.0[;*
758.0;[0.0, 10000.0[;[0.0, 25000.0[;*
759.0;[0.0, 10000.0[;[0.0, 25000.0[;*
759.22;[0.0, 10000.0[;[0.0, 25000.0[;*
760.0;[0.0, 10000.0[;[0.0, 25000.0[;*
761.0;[0.0, 10000.0[;[0.0, 25000.0[;*
761.81;[0.0, 10000.0[;[0.0, 25000.0[;*
763.93;[0.0, 10000.0[;[0.0, 25000.0[;*
765.0;[0.0, 10000.0[;[0.0, 25000.0[;*
770.0;[0.0, 10000.0[;[0.0, 25000.0[;*
775.0;[0.0, 10000.0[;[0.0, 25000.0[;*
775.1;[0.0, 10000.0[;[0.0, 25000.0[;*
775.98;[0.0, 10000.0[;[0.0, 25000.0[;*
776.0;[0.0, 10000.0[;[0.0, 25000.0[;*
778.22;[0.0, 10000.0[;[0.0, 25000.0[;*
780.0;[0.0, 10000.0[;[0.0, 25000.0[;*
785.62;[0.0, 10000.0[;[0.0, 25000.0[;*
787.0;[0.0, 10000.0[;[0.0, 25000.0[;*
789.59;[0.0, 10000.0[;[0.0, 25000.0[;*
790.0;[0.0, 10000.0[;[0.0, 25000.0[;*
790.56;[0.0, 10000.0[;[0.0, 25000.0[;*
790.6;[0.0, 10000.0[;[0.0, 25000.0[;*
791.0;[0.0, 10000.0[;[0.0, 25000.0[;*
797.0;[0.0, 10000.0[;[0.0, 25000.0[;*
798.0;[0.0, 10000.0[;[0.0, 25000.0[;*
800.0;[0.0, 10000.0[;[0.0, 25000.0[;*
801.25;[0.0, 10000.0[;[0.0, 25000.0[;*
802.5;[0.0, 10000.0[;[0.0, 25000.0[;*
804.0;[0.0, 10000.0[;[0.0, 25000.0[;*
806.0;[0.0, 10000.0[;[0.0, 25000.0[;*
810.0;[0.0, 10000.0[;[0.0, 25000.0[;*
813.0;[0.0, 10000.0[;[0.0, 25000.0[;*
814.0;[0.0, 10000.0[;[0.0, 25000.0[;*
818.0;[0.0, 10000.0[;[0.0, 25000.0[;*
